Step 10 / 5004, Train loss: 24.91184401512146
Step 20 / 5004, Train loss: 28.040550231933594
Step 30 / 5004, Train loss: 28.09025263786316
Step 40 / 5004, Train loss: 28.452847957611084
Step 50 / 5004, Train loss: 27.27456533908844
Step 60 / 5004, Train loss: 27.36185622215271
Step 70 / 5004, Train loss: 27.047546863555908
Step 80 / 5004, Train loss: 28.36922025680542
Step 90 / 5004, Train loss: 24.979793787002563
Step 100 / 5004, Train loss: 26.949275255203247
Step 110 / 5004, Train loss: 28.83382821083069
Step 120 / 5004, Train loss: 28.508448839187622
Step 130 / 5004, Train loss: 27.018397569656372
Step 140 / 5004, Train loss: 27.74507975578308
Step 150 / 5004, Train loss: 28.360572338104248
Step 160 / 5004, Train loss: 27.836763381958008
Step 170 / 5004, Train loss: 26.555113911628723
Step 180 / 5004, Train loss: 25.80307137966156
Step 190 / 5004, Train loss: 29.19130516052246
Step 200 / 5004, Train loss: 26.227714776992798
Step 210 / 5004, Train loss: 28.456026554107666
Step 220 / 5004, Train loss: 28.292446613311768
Step 230 / 5004, Train loss: 28.836565017700195
Step 240 / 5004, Train loss: 26.363608241081238
Step 250 / 5004, Train loss: 27.367032766342163
Step 260 / 5004, Train loss: 28.53991174697876
Step 270 / 5004, Train loss: 29.062906980514526
Step 280 / 5004, Train loss: 27.789595127105713
Step 290 / 5004, Train loss: 27.184640407562256
Step 300 / 5004, Train loss: 26.416256427764893
Step 310 / 5004, Train loss: 27.48369312286377
Step 320 / 5004, Train loss: 26.46414041519165
Step 330 / 5004, Train loss: 27.658530235290527
Step 340 / 5004, Train loss: 27.142174005508423
Step 350 / 5004, Train loss: 25.425700068473816
Step 360 / 5004, Train loss: 25.825689792633057
Step 370 / 5004, Train loss: 28.60241723060608
Step 380 / 5004, Train loss: 26.23125123977661
Step 390 / 5004, Train loss: 27.73987579345703
Step 400 / 5004, Train loss: 27.102550983428955
Step 410 / 5004, Train loss: 25.443268060684204
Step 420 / 5004, Train loss: 24.32822620868683
Step 430 / 5004, Train loss: 28.417723417282104
Step 440 / 5004, Train loss: 29.369125604629517
Step 450 / 5004, Train loss: 26.136987686157227
Step 460 / 5004, Train loss: 26.659676551818848
Step 470 / 5004, Train loss: 26.570780515670776
Step 480 / 5004, Train loss: 26.28014385700226
Step 490 / 5004, Train loss: 29.174700021743774
Step 500 / 5004, Train loss: 26.392563343048096
Step 510 / 5004, Train loss: 26.560606837272644
Step 520 / 5004, Train loss: 26.581473350524902
Step 530 / 5004, Train loss: 27.26560664176941
Step 540 / 5004, Train loss: 25.791748046875
Step 550 / 5004, Train loss: 28.576311349868774
Step 560 / 5004, Train loss: 26.445155382156372
Step 570 / 5004, Train loss: 26.561553955078125
Step 580 / 5004, Train loss: 24.811894178390503
Step 590 / 5004, Train loss: 26.527883529663086
Step 600 / 5004, Train loss: 26.787917733192444
Step 610 / 5004, Train loss: 26.394391775131226
Step 620 / 5004, Train loss: 26.49557662010193
Step 630 / 5004, Train loss: 27.261749267578125
Step 640 / 5004, Train loss: 26.277143716812134
Step 650 / 5004, Train loss: 25.031830191612244
Step 660 / 5004, Train loss: 27.80790901184082
Step 670 / 5004, Train loss: 25.08744716644287
Step 680 / 5004, Train loss: 25.746681571006775
Step 690 / 5004, Train loss: 27.672223567962646
Step 700 / 5004, Train loss: 27.634952306747437
Step 710 / 5004, Train loss: 27.1264888048172
Step 720 / 5004, Train loss: 29.591176986694336
Step 730 / 5004, Train loss: 26.83364772796631
Step 740 / 5004, Train loss: 27.968430876731873
Step 750 / 5004, Train loss: 26.941166877746582
Step 760 / 5004, Train loss: 27.399709582328796
Step 770 / 5004, Train loss: 27.84669327735901
Step 780 / 5004, Train loss: 26.650227308273315
Step 790 / 5004, Train loss: 27.37935483455658
Step 800 / 5004, Train loss: 27.531860828399658
Step 810 / 5004, Train loss: 26.031535148620605
Step 820 / 5004, Train loss: 27.35873055458069
Step 830 / 5004, Train loss: 25.86097240447998
Step 840 / 5004, Train loss: 25.451562881469727
Step 850 / 5004, Train loss: 26.02927529811859
Step 860 / 5004, Train loss: 26.172553181648254
Step 870 / 5004, Train loss: 24.83465826511383
Step 880 / 5004, Train loss: 28.542408227920532
Step 890 / 5004, Train loss: 25.825531840324402
Step 900 / 5004, Train loss: 26.029693484306335
Step 910 / 5004, Train loss: 26.096562147140503
Step 920 / 5004, Train loss: 27.9581618309021
Step 930 / 5004, Train loss: 25.05453884601593
Step 940 / 5004, Train loss: 28.055118322372437
Step 950 / 5004, Train loss: 26.71693205833435
Step 960 / 5004, Train loss: 27.36178731918335
Step 970 / 5004, Train loss: 26.757978439331055
Step 980 / 5004, Train loss: 27.318459510803223
Step 990 / 5004, Train loss: 25.66375982761383
Step 1000 / 5004, Train loss: 27.523747324943542
Step 1010 / 5004, Train loss: 24.21718692779541
Step 1020 / 5004, Train loss: 27.702105283737183
Step 1030 / 5004, Train loss: 26.19060790538788
Step 1040 / 5004, Train loss: 28.426750898361206
Step 1050 / 5004, Train loss: 25.68671703338623
Step 1060 / 5004, Train loss: 29.235255002975464
Step 1070 / 5004, Train loss: 27.384456157684326
Step 1080 / 5004, Train loss: 27.585123300552368
Step 1090 / 5004, Train loss: 27.287724018096924
Step 1100 / 5004, Train loss: 24.82919156551361
Step 1110 / 5004, Train loss: 25.7667475938797
Step 1120 / 5004, Train loss: 28.618664741516113
Step 1130 / 5004, Train loss: 27.33375573158264
Step 1140 / 5004, Train loss: 27.327195405960083
Step 1150 / 5004, Train loss: 27.080841183662415
Step 1160 / 5004, Train loss: 25.287426829338074
Step 1170 / 5004, Train loss: 26.847987413406372
Step 1180 / 5004, Train loss: 26.992199659347534
Step 1190 / 5004, Train loss: 27.73405408859253
Step 1200 / 5004, Train loss: 25.02362024784088
Step 1210 / 5004, Train loss: 27.20200777053833
Step 1220 / 5004, Train loss: 27.757582902908325
Step 1230 / 5004, Train loss: 26.802566528320312
Step 1240 / 5004, Train loss: 27.558209657669067
Step 1250 / 5004, Train loss: 26.208986282348633
Step 1260 / 5004, Train loss: 22.24187695980072
Step 1270 / 5004, Train loss: 22.834336519241333
Step 1280 / 5004, Train loss: 22.549164175987244
Step 1290 / 5004, Train loss: 23.05941379070282
Step 1300 / 5004, Train loss: 22.79623794555664
Step 1310 / 5004, Train loss: 21.84157383441925
Step 1320 / 5004, Train loss: 24.528377056121826
Step 1330 / 5004, Train loss: 22.053951859474182
Step 1340 / 5004, Train loss: 22.792049884796143
Step 1350 / 5004, Train loss: 23.366890907287598
Step 1360 / 5004, Train loss: 23.179782390594482
Step 1370 / 5004, Train loss: 23.448485493659973
Step 1380 / 5004, Train loss: 23.929233074188232
Step 1390 / 5004, Train loss: 23.87975251674652
Step 1400 / 5004, Train loss: 22.869147419929504
Step 1410 / 5004, Train loss: 23.34661293029785
Step 1420 / 5004, Train loss: 21.56187355518341
Step 1430 / 5004, Train loss: 21.622751235961914
Step 1440 / 5004, Train loss: 24.17071509361267
Step 1450 / 5004, Train loss: 24.182225942611694
Step 1460 / 5004, Train loss: 23.39519476890564
Step 1470 / 5004, Train loss: 22.249307870864868
Step 1480 / 5004, Train loss: 21.296772241592407
Step 1490 / 5004, Train loss: 24.35192346572876
Step 1500 / 5004, Train loss: 20.810108542442322
Step 1510 / 5004, Train loss: 24.203776836395264
Step 1520 / 5004, Train loss: 23.856520414352417
Step 1530 / 5004, Train loss: 24.339308500289917
